Company,Ticker
Berkshire Hathaway Inc,BRK.A
J.P. Morgan Chase Bank ,JPM
J.P. Morgan Chase Bank ,JPM
Timken,TKR
Meredith Corporation,MDP
Cigma,CI
Winn-Dixie,WINN
Joy global,JOY
Hertz,HTZ
MedStar Montgomery Medical Center ,VCRA
Dean Foods,DF
CenterPoint Energy,CNP
Mizuho Securities ,MFG
Huntsman Corporation ,HUN
Kindred Healthcare,KND
Petrobras,PBR
First Horizon National Corp,FHN
Selective Insurance Group,SIGI
Emerson,EMR
American Eagle Outfitters,AEO
AmerisourceBergen,ABC
 CenterPoint Energy,CNP
ConAgra Foods ,CAG
Companhia Siderurgica Nacional,SID
Advanced Energy Industries ,AEIS
Total SE,TOT
Tractor Supply Company ,TSCO
Clear Channel Outdoor,CCO
Sherwin-Williams,SHW
Unilever,UL
HMS,HMSY
Cisco,CSCO
Vmware,VMW
Hain,HAIN
Cardinal Health,CAH
Maiden RE,MHLD
Ericsson,ERIC
Con Edison,ED
 FMC Corporation ,FMC
Thomson Reuters Corp,TRI
Old Point Financial Corporation,OPOF
Joy Global,Joy
Companhia Siderurgica Nacional ,SID
Stag Industrial,STAG
 Controladora Vuela Co Avcn SA CV,VLRS
Smartsheet,SMAR
General Motors,GM
Amerigas,UGI
Enova,ENVA
Home depot,HD
Papa Gino's,PZZA
Marine-Products-Corporation,MPX
"RPC, Inc",RES
Hain celestial,HAIN
Ryerson,RYI
Procter & Gamble,PG
Flotek,FLK
Cisco Systems ,CSCO
Vmware,VMW
Neiman Marcus,MCS
Hershey,HSY
Lockheed Martin,LMT
Lockheed Martin,LMT
Honeywell,HON
Telefonica S.A.,TEF
United Technologies Corp.,UTX
vodafone,VOD
bed-bath--beyond,BBBY
ProPetro Holding Corp,PUMP
Omnicom,OMC
Realogy Holdings Corp,RLGY
Xiaobai Maimai,HX
Ritchie bros,RBA
Pfizer,PFE
Interpublic Group,IPG
Ribbon Communications Inc.,RBBN
digimarc,DMRC
Envestnet,ENV
GSX,GOTU
ALJJ,ALJJ
Lithia Motors Inc.,LAD
Quad/Graphics,QUAD
lendingtree,TREE
Signet Jewelers,SIGI
MSC Industrial Supply Co.,MSM
"Essex Bank,",ESXB
Pembina Pipeline,
Robert Half ,RHI 
"Energizer Holdings, Inc.",ENR
Flotek Industries,FTK
PSCU,PSCU
Genuine Parts Company,GPC
Nabors Industries Ltd,NBR
ECHO,ECHO
KAR Auction Services,KAR
Waddell,WDR
United States Steel ,X
Royal Philips,PHG
Equinix ,EQIX
First Solar,FSLR
T-Mobile,TMUS
Altria Group Inc,MO
Brightcove,BCOV
Crawford & Company,CRD.B
Rent-A-Center,RCII
OUTFRONT Media,OUT
Aegon,AEG
"Astec Industries, Inc.",ASTE
Crane ,CR
McDonald?s,MCD
Polycab India,POLYCAB
Albertsons Companies Inc,ACI
ArcelorMittal ,MT
Iron Mountain,IRM
Jacobs,J
KBR,KBR
OHI,OHI
Toronto-Dominion Bank,TD
Dicks Sporting Goods Inc,DKS
National Instruments Corp,NATI
Walker & Dunlop,WD
AMTD International Inc,AMTD
Dish,DISH
Coca-Cola European Partners PLC,CCEP
Invesco Ltd,IVZ
AT&T,T
Coupa,COUP
Morningstar,MORN
SIERRA,SWIR
Food locker,FL
Deluxe Corporation,DLX
